Name,Committee ID,Treasurer,Street_1,Street_2,City,ZIP code,state,Connected Org Name,Political Orientation,Filing frequency,Total receipts (includes both itemized and unitemized contributions),Total unitemized contributions,cash on hand,last report date,total IEs,IEs support dems,IEs oppose dems,IEs support reps,IEs oppose reps
IDAHO HORSE ASSOCIATION,C00526947,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
ILLINOIS HORSE ASSOCIATION,C00526772,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
INDIANA HORSE ASSOCIATION,C00526764,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
IOWA DAKOTA HORSE ASSOCIATION,C00526814,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
KANSAS HORSE ASSOCIATION,C00526806,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
KENTUCKY HORSE ASSOCIATION ,C00526855,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
MARYLAND HORSE ASSOCIATION,C00526889,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
MASSACHUSETTS HORSE ASSOCIATION,C00526822,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
MICHIGAN HORSE ASSOCIATION,C00526798,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
MINNESOTA HORSE ASSOCIATION,C00526863,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
MONTANA HORSE ASSOCIATION,C00526897,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
NEBRASKA HORSE ASSOCIATION,C00526939,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
NEVADA HORSE ASSOCIATION,C00526921,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW JERSEY HORSE ASSOCIATION,C00526848,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
NORTH DAKOTA HORSE ASSOCIATION,C00526756,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
OHIO HORSE ASSOCIATION,C00526723,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
OREGON HORSE ASSOCIATION,C00526731,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
PEOPLE FOR ARIZONA,C00526681,,,,,,AZ,,Unassigned,Quarterly,,,,,0,0,0,0,0
TENNESSEE HORSE ASSOCIATION,C00526954,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
WYOMING HORSE ASSOCIATION,C00526913,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR GARY JOHNSON,C00527143,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
CALIFORNIA HORSE ASSOCIATION,C00527093,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
MAKING CONNECTICUT COMPETITIVE PAC,C00527135,,,,,,DC,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
NEW YORK HORSE ASSOCIATION,C00527069,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
PENNSYLVANIA HORSE ASSOCIATION,C00527119,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
RHODE ISLAND HORSE ASSOCIATION,C00527184,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
SOUTH CAROLINA HORSE ASSOCIATION,C00527150,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
SOUTH DAKOTA HORSE ASSOCIATION,C00527085,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
UTAH HORSE ASSOCIATION,C00527077,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
WASHINGTON HORSE ASSOCIATION,C00527101,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
WEST VIRGINIA HORSE ASSOCIATION,C00527200,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
LOUISIANA HORSE ASSOCIATION,C00527168,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
POLITICAL ACTION CARTOONS,C00527218,,,,,,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
VERMONT HORSE ASSOCIATION,C00527192,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
VIRGINIA HORSE ASSOCIATION,C00527176,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
REACH LIBERTY PAC,C00527317,,,,,,MO,,Unassigned,Quarterly,,,,,0,0,0,0,0
TERRANS UNITED,C00527325,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
ADVANCING FREEDOM ACTIN NETWORK,C00526061,KEVIN DEWINE,506 CRISP WIND COURT,,FAIRBORN,45324,OH,,Unassigned,Quarterly,,,,,0,0,0,0,0
ALASKA HORSE ASSOCIATION,C00527598,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICAN WILD HORSE AND BURRO ASSOCIATION,C00527564,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
GOVERNMENT KUDZU,C00527507,,,,,,MD,,Unassigned,Quarterly,,,,,0,0,0,0,0
HALL AND OATES FANS FOR AMERICA,C00527499,,,,,,GA,,Unassigned,Quarterly,,,,,0,0,0,0,0
HAWAII HORSE ASSOCIATION,C00527580,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
MAINE HORSE ASSOCIATION,C00527606,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
MCBLACKPAC,C00527515,,,,,,MD,,Unassigned,Quarterly,,,,,0,0,0,0,0
MISSISSIPPI HORSE ASSOCIATION,C00527572,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
NORTH CAROLINA HORSE ASSOCIATION,C00527614,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
RESTORING AMERICA'S SOUL,C00527481,,,,,,UT,,Unassigned,Quarterly,,,,,0,0,0,0,0
WISCONSIN HORSE ASSOCIATION,C00527622,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
ABBEY ROAD,C00527754,,,,,,OH,,Unassigned,Quarterly,,,,,0,0,0,0,0
OKLAHOMA FORWARD,C00527721,,,,,,OK,,Unassigned,Quarterly,,,,,0,0,0,0,0
OPPORTUNITY FOR ALL,C00527762,,,,,,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
OUR COUNTRY OUR VOICE,C00525972,MARK SATTERLEE,1257 CORDOVA AVE,,GLENDALE,91207,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
NEW HAMPSHIRE HORSE ASSOCIATION,C00527879,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
SUNNY ISLES PAC 10 SUPER,C00527861,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
CONSERVATIVE MEDIA ACTION COMMITTEE INC,C00527994,,,,,,NY,,Unassigned,Quarterly,492,492,138,9/30/12,0,0,0,0,0
LADIES FIRST SUPER PAC,C00527903,,,,,,TX,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
LATINO DISTRICT DEFENSE FUND,C00527937,,,,,,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICA FOREVER,C00528018,,,,,,NJ,,Unassigned,Quarterly,,,,,0,0,0,0,0
ADELANTE BORICUA,C00528133,,,,,,PR,,Unassigned,Quarterly,,,,,0,0,0,0,0
KA KAW SUPER PAC,C00528109,,,,,,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
SUPER WOMEN PAC,C00528067,,,,,,DC,,Unassigned,Quarterly,43550,150,33843.64,9/30/12,0,0,0,0,0
RENEW OUR HOPE,C00528224,,,,,,TX,,Unassigned,Quarterly,100,100,20.9,9/30/12,0,0,0,0,0
UTILITY WORKERS UNION OF AMERICA POLITICAL-LEGISLATIVE EDUCATION FUND,C00528208,,,,,,DC,,Unassigned,Quarterly,200100,0,100,9/30/12,0,0,0,0,0
WOMEN UNITED INC,C00528190,,,,,,VA,,Unassigned,Quarterly,0,0,0,8/31/12,0,0,0,0,0
CIVIL LIBERTIES ASSAULT FUND,C00528158,S KELLY MCCARTHY,1006 CAMERON STREET,,ALEXANDRIA,22314,VA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
OFFICE FUND/TRI-CITIES PAC; THE,C00528315,,,,,,AZ,,Unassigned,Quarterly,,,,,0,0,0,0,0
STEM SUPER PAC,C00528398,,,,,,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
SELECT OUR AMERICA,C00528422,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES FEDERAL SPEECH PAC,C00528455,,,,,,NY,,Unassigned,Quarterly,126000,0,16000,10/17/12,0,0,0,0,0
MEDIA FUND SUPER PAC,C00528471,,,,,,OH,,Unassigned,Quarterly,,,,,0,0,0,0,0
UAW EDUCATION FUND,C00528448,,,,,,MI,,Backs Democrats,Quarterly,8309000,0,6109000,10/17/12,0,0,0,0,0
CITIZENS FOR A SUSTAINABLE NORTH HAWAII,C00528562,,,,,,HI,,Unassigned,Quarterly,,,,,0,0,0,0,0
"HERSCHAL AND  MOLEY FOR A BETTER TOMORROW, TOMORROW",C00528570,,,,,,OR,,Unassigned,Quarterly,,,,,0,0,0,0,0
REPRESENTATIVE AMERICA,C00528265,PATRICK GORDON LE FEUVRE,402 TOWNE PARK TRAIL,,AUSTIN,78751,TX,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
URBAN PROGRESS POLITICAL ACTION COMMITTEE,C00528661,,,,,,SC,,Unassigned,Quarterly,,,,,0,0,0,0,0
EXTREMELY R REPUBLICANS,C00528703,,,,,,MO,,Unassigned,Quarterly,,,,,0,0,0,0,0
INDIAN AMERICANS FOR FREEDOM,C00528729,,,,,,IL,,Unassigned,Quarterly,,,,,0,0,0,0,0
KING OF IL SUPER PAC NFP,C00528711,,,,,,IL,,Unassigned,Quarterly,,,,,0,0,0,0,0
MOVING OHIO FORWARD ACTION FUND,C00528869,,,,,,OH,,Backs Democrats,Quarterly,1387130,0,579592.76,10/17/12,0,0,0,0,0
TRANSPARENCY NOW,C00528828,,,,,,HI,,Unassigned,Quarterly,,,,,0,0,0,0,0
CHAMPIONS FOR CHANGE INC,C00528927,,,,,,DC,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
COMMITTEE TO ELECT AN EFFECTIVE CONGRESS,C00528877,,,,,,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
HOMETOWN FREEDOM ACTION NETWORK,C00528901,,,,,,OH,,Unassigned,Quarterly,,,,,0,0,0,0,0
STANDING FOR WISCONSIN FAMILIES,C00528893,,,,,,WI,,Unassigned,Quarterly,,,,,0,0,0,0,0
INNOVATIVE CRUSADERS OF TRUTH,C00529008,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR LOGIC,C00529032,,,,,,MS,,Unassigned,Quarterly,,,,,0,0,0,0,0
FIX BROKEN AMERICA SUPER PAC,C00529057,,,,,,WA,,Unassigned,Quarterly,,,,,0,0,0,0,0
MONSTAH PAC,C00529107,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
NJ WORKERS' VOICES,C00529123,,,,,,NJ,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
WE THE PEOPLE INC,C00529131,,,,,,CA,,Unassigned,Quarterly,180,180,0,9/30/12,0,0,0,0,0
BLUE STATES VICTORY SUPER PAC,C00529222,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
CATHOLICS FOR COMMON SENSE,C00529610,,,,,,WA,,Unassigned,Quarterly,,,,,0,0,0,0,0
EQUALITY FOR ALL SUPER PAC,C00529172,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
FRATERNITY FOR ALL SUPER PAC,C00529180,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
GO FORWARD AMERICA SUPER PAC,C00529263,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
IN GOD WE TRUST SUPER PAC ,C00529198,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
LIBERTY FOR EVERYONE SUPER PAC,C00529214,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
RED STATES VICTORY SUPER PAC,C00529230,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
RESTORE OUR COUNTRY SUPER PAC,C00529255,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES AIRLINE INDUSTRY SUPER PAC,C00529503,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES AUTOMOTIVE INDUSTRY SUPER PAC,C00529511,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES BANKING INDUSTRY SUPER PAC,C00529461,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES CAPITALISM PRESERVATION FUND,C00529362,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES CONGRESS VICTORY FUND,C00529339,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES CONGRESSIONAL MAJORITY FUND,C00529313,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES CROSSROADS SUPER PAC,C00529271,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES ENTERTAINMENT INDUSTRY SUPER PAC,C00529529,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES FILM INDUSTRY SUPER PAC,C00529560,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES FINANCIAL SERVICES INDUSTRY SUPER PAC,C00529446,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES FOOD INDUSTRY SUPER PAC,C00529289,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES HEALTH CARE INDUSTRY SUPER PAC,C00529537,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES HEDGE FUND INDUSTRY SUPER PAC,C00529388,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES HOTEL INDUSTRY SUPER PAC,C00529297,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES INSURANCE INDUSTRY SUPER PAC,C00529479,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES INVESTMENT INDUSTRY SUPER PAC,C00529453,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES LOBBYING INDUSTRY SUPER PAC,C00529404,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES MARITIME INDUSTRY SUPER PAC,C00529412,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES MUSIC INDUSTRY SUPER PAC,C00529552,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES POLITICAL STRATEGIES FUND,C00529354,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES PRIVATE EQUITY INDUSTRY SUPER PAC,C00529420,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES REAL ESTATE INDUSTRY SUPER PAC,C00529495,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES RETAIL INDUSTRY SUPER PAC,C00529305,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES SENATE MAJORITY FUND,C00529321,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES SENATE VICTORY FUND,C00529347,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES SPORTS INDUSTRY SUPER PAC,C00529370,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES TELECOMMUNICATIONS INDUSTRY SUPER PAC,C00529545,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES TOURISM INDUSTRY SUPER PAC,C00529487,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES VENTURE CAPITAL INDUSTRY SUPER PAC,C00529396,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED STATES WEALTH MANAGEMENT INDUSTRY SUPER PAC,C00529438,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
UNITED WE STAND SUPER PAC,C00529206,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
WE CAN CHANGE AMERICA SUPER PAC,C00529248,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICANS UNITED FOR A STRONGER ECONOMY,C00529669,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
GRAND OLD PRINCIPLES,C00529818,,,,,,WA,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
ROMNEY'S DOG HOUSE,C00529859,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
LATINOS MOVING FORWARD,C00529941,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
VISIONARY GENERATIONS,C00529933,,,,,,MI,,Unassigned,Quarterly,,,,,0,0,0,0,0
WE WILL BE HEARD ,C00529958,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICAN CIVIL RIGHTS PROTECTION SUPER PAC,C00530147,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICAN CONSERVATIVES SUPER PAC,C00530162,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICAN DREAMS FOR ECONOMIC DEVELOPMENT SUPER PAC,C00530253,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICAN ELECTORAL COLLEGE SUPER PAC,C00530220,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICAN HUMAN RIGHTS DEFENSE SUPER PAC,C00530279,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICAN MIDDLE CLASS CAUSES SUPER PAC,C00530188,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICAN PRIORITIES SUPER PAC,C00530246,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICANS FOR A BETTER PROSPERITY SUPER PAC,C00530287,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICANS FOR A GOOD PRESIDENTIAL CHOICE SUPER PAC,C00530261,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICANS FOR A NEW LEADERSHIP IN AMERICA SUPER PAC,C00530196,,,,,,FL,,Unassigned,Quarterly,0,0,0,9/30/12,0,0,0,0,0
AMERICANS FOR A STRONGER ECONOMY PAC INC,C00530238,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR CANNABIS REFORM,C00530683,,,,,,CA,,Unassigned,Quarterly,,,,,0,0,0,0,0
OHIO COUNCIL 8 AMERICAN FED OF ST CTY AND MUNI EMPLOYEES (AFSCME) AFL-CIO IE PAC,C00530675,,,,,,OH,,Unassigned,Quarterly,,,,,0,0,0,0,0
CONSOLIDATED IZA,C00526145,GARETT ROBERT LEWIS,129 NORTH WASHINGTON AVENUE ,APARTMENT 509,SCRANTON,185032203,PA,NONE,Unassigned,Quarterly,,,,,0,0,0,0,0
IN GOD WE TRUST,C00530832,,,,,,MO,,Unassigned,Quarterly,,,,,0,0,0,0,0
LIFE PAC,C00530840,,,,,,DC,,Unassigned,Quarterly,100,100,100,9/30/12,0,0,0,0,0
VETERANS FOR AMERICA PAC,C00530824,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
COMMITTEE TO PROTECT AMERICA'S ALLIES,C00531673,,,,,,DC,,Unassigned,Quarterly,,,,,0,0,0,0,0
OUR WASHINGTON FIRST POLITICAL ACTION COMMITTEE,C00531657,,,,,,WA,,Unassigned,Quarterly,,,,,0,0,0,0,0
MOVING AMERICANS FORWARD,C00531731,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
JUST THE FACTS PAC,C00532374,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
WORKERS' VOICE (OPEIU),C00532390,,,,,,NY,,Unassigned,Quarterly,,,,,0,0,0,0,0
GENESIS 1213,C00532457,,,,,,TX,,Unassigned,Quarterly,,,,,0,0,0,0,0
CONSERVATIVE ACTION NETWORK,C00532531,,,,,,NV,,Unassigned,Quarterly,,,,,0,0,0,0,0
JOBS FOR AMERICA'S FUTURE POLITICAL ACTION COMMITTEE INC; THE,C00532549,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
LIBERTAS INSTITUTE,C00532556,,,,,,CO,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICA'S LIBERTY POLITICAL ACTION COMMITTEE INC,C00532572,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
FORWARD UNITED CAMPAIGN COMMITTEE,C00532580,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
BEN IS NOT MY FRIEND PAC,C00532689,,,,,,MD,,Unassigned,Quarterly,,,,,0,0,0,0,0
GEAUX PAC,C00532630,,,,,,LA,,Unassigned,Quarterly,,,,,0,0,0,0,0
WE CAN TOGETHER,C00532622,,,,,,PA,,Unassigned,Quarterly,,,,,0,0,0,0,0
THE PEOPLE'S AGENDA,C00529776,LISA M BOWEN,123 HARDING HIGHWAY,,PITTSGROVE,8318,NJ,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICA FRIENDSHIP INC,C00532820,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR SOLUTIONS,C00532838,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
CITIZENS TO SAVE AMERICA,C00532846,,,,,,CO,,Unassigned,Quarterly,,,,,0,0,0,0,0
EXPORT USA NOW INC,C00532796,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
LATINO VALUES,C00532945,,,,,,NM,,Unassigned,Quarterly,,,,,0,0,0,0,0
USA CHINA FRIENDSHIP INC,C00532804,,,,,,VA,,Unassigned,Quarterly,,,,,0,0,0,0,0
AMERICANS FOR A BETTER TOMORROW PERIOD,C00533125,,,,,,PA,,Unassigned,Quarterly,,,,,0,0,0,0,0
USA PROGRESS,C00532895,,,,,,IL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF MISSISSIPPI,C00533901,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF KENTUCKY,C00533638,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF NEW MEXICO,C00533836,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF NEW JERSEY,C00533844,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF NEW YORK,C00533828,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF MISSOURI,C00533893,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF NEVADA,C00533869,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF KANSAS,C00533646,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF NEBRASKA,C00533877,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF NEW HAMPSHIRE,C00533851,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF MONTANA,C00533885,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF OHIO,C00533794,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF NORTH DAKOTA,C00533802,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF NORTH CAROLINA,C00533810,,,,,,FL,,Unassigned,Quarterly,,,,,0,0,0,0,0
EXPOSING MARXISTS PAC,C00534016,,,,,,IL,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF UTAH,C00533042,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF GEORGIA,C00533703,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF FLORIDA,C00533711,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF CONNECTICUT,C00533737,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF RHODE ISLAND,C00532978,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF ALABAMA,C00533117,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF LOUISIANA,C00533976,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF TENNESSEE,C00533026,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF VIRGINIA,C00533067,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF MINNESOTA,C00533919,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF MARYLAND,C00533943,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF SOUTH CAROLINA,C00532960,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF PENNSYLVANIA,C00532986,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF CALIFORNIA,C00533752,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF MASSACHUSETTS,C00533935,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
DEMOCRATIC LIBERAL SUPER PAC OF OKLAHOMA,C00533000,,,,,,,,Unassigned,Quarterly,,,,,0,0,0,0,0
